id,age,region,industry,company_size,acquisition_channel,visits_30d,emails_opened_30d,avg_session_min,support_tickets_90d,last_purchase_days,orders_12m,total_spend_12m,converted,cluster
60,53.0,South,Healthcare,201-1000,web,7,2,6.42,1,15,3,965.77,0,2
61,65.0,West,Healthcare,1000+,ads,4,4,4.35,2,22,2,980.73,0,1
62,56.0,South,Education,201-1000,referral,11,6,7.16,0,92,2,664.62,1,2
63,37.0,Midwest,Healthcare,1-10,web,3,1,6.34,2,83,2,493.43,0,1
64,68.0,South,SaaS,51-200,ads,12,2,3.4,1,94,3,431.11,1,1
65,39.0,Midwest,Healthcare,1-10,referral,9,2,4.08,0,77,0,690.93,1,1
66,34.0,West,E-commerce,201-1000,web,4,4,10.1,1,35,4,351.03,0,1
67,65.0,Midwest,Healthcare,11-50,referral,4,4,7.11,2,13,5,615.26,0,1
68,37.0,South,E-commerce,51-200,web,13,2,9.76,0,19,1,620.02,0,2
69,21.0,Northeast,SaaS,1000+,events,15,2,5.58,2,6,3,88.54,0,2
70,42.0,Midwest,Manufacturing,1-10,events,10,3,4.74,0,25,4,349.54,0,1
71,,West,SaaS,11-50,referral,7,4,2.8,2,126,2,411.02,0,1
72,27.0,South,Education,51-200,events,3,7,8.63,1,51,2,786.55,0,2
73,42.0,Midwest,Education,11-50,ads,9,5,7.4,0,5,2,92.26,0,1
74,24.0,West,Finance,1-10,events,7,2,5.6,0,16,4,666.03,0,2
75,53.0,West,,1-10,web,10,4,4.76,1,17,2,698.15,0,2
76,42.0,Midwest,SaaS,11-50,referral,11,2,8.98,1,59,5,541.24,0,2
77,35.0,South,E-commerce,51-200,partner,12,4,6.11,2,62,3,995.19,0,2
78,29.0,South,E-commerce,51-200,referral,4,2,6.13,0,43,2,871.32,0,2
79,47.0,South,Finance,1-10,events,8,2,5.18,0,196,1,995.1,0,0
80,52.0,Midwest,Finance,51-200,ads,9,6,5.6,1,32,2,580.45,1,2
81,66.0,Midwest,Manufacturing,11-50,ads,7,1,7.71,1,84,1,393.0,0,1
82,40.0,West,Healthcare,11-50,ads,5,1,3.38,2,44,6,607.14,1,1
83,26.0,West,E-commerce,201-1000,partner,9,3,6.68,1,31,2,1109.87,0,2
84,61.0,West,Manufacturing,11-50,web,10,2,8.6,1,58,0,495.99,0,1
85,50.0,West,Education,51-200,partner,8,2,,4,17,1,908.06,0,2
86,54.0,South,Education,1000+,partner,7,6,8.82,1,23,4,705.78,1,2
87,23.0,West,Healthcare,51-200,events,6,3,9.45,1,96,6,432.02,0,0
88,34.0,West,Healthcare,51-200,events,10,4,8.49,0,170,4,985.87,0,0
89,57.0,South,Healthcare,1-10,partner,12,5,5.32,0,89,2,505.23,0,2
90,61.0,Midwest,Education,1-10,ads,9,9,6.42,2,56,2,831.75,0,2
91,40.0,Midwest,E-commerce,1-10,ads,6,4,7.26,0,29,4,695.85,0,2
92,59.0,South,Manufacturing,201-1000,referral,11,2,5.47,1,13,4,446.44,0,1
93,61.0,Midwest,E-commerce,201-1000,events,9,2,5.39,0,20,1,490.86,1,1
94,38.0,Midwest,Healthcare,1-10,referral,8,2,5.26,3,35,1,439.64,1,1
95,64.0,South,E-commerce,11-50,ads,9,4,12.1,3,123,0,955.19,0,0
96,32.0,Midwest,Finance,11-50,web,7,1,5.9,0,3,6,800.13,0,2
97,30.0,Northeast,Education,51-200,referral,5,1,,1,42,0,475.64,0,1
98,53.0,West,,51-200,referral,3,2,4.59,0,126,1,926.39,0,0
99,51.0,West,Education,51-200,ads,8,4,10.24,0,160,3,621.44,0,0
100,25.0,Northeast,E-commerce,1000+,ads,5,1,5.67,1,163,5,666.96,0,0
101,61.0,Northeast,E-commerce,11-50,partner,9,0,,1,13,2,1093.21,0,1
102,28.0,Midwest,Manufacturing,51-200,ads,13,2,2.47,4,24,1,284.1,0,2
103,59.0,West,,51-200,web,13,3,8.96,0,131,3,791.65,0,0
104,18.0,West,SaaS,11-50,ads,3,3,9.43,0,64,1,571.14,0,0
105,59.0,Northeast,Education,1000+,web,6,1,3.89,1,14,3,258.22,0,1
106,58.0,West,Finance,1-10,events,8,3,9.08,2,72,3,941.61,1,2
107,58.0,Northeast,SaaS,201-1000,partner,11,4,3.56,3,39,1,994.53,0,2
108,52.0,Midwest,Education,201-1000,referral,6,2,7.89,0,74,2,1122.78,0,0
109,42.0,West,Finance,1000+,referral,6,1,5.87,1,69,5,753.29,0,1
110,54.0,Northeast,Finance,51-200,web,13,2,9.44,2,48,1,1074.75,1,2
111,32.0,Northeast,Manufacturing,11-50,referral,10,1,7.05,0,15,3,687.55,0,2
112,58.0,Midwest,Healthcare,201-1000,web,7,0,8.55,0,45,3,185.08,0,1
113,46.0,South,Healthcare,201-1000,events,9,2,9.22,1,43,3,983.67,0,2
114,41.0,West,Finance,51-200,web,9,5,5.86,0,156,4,488.03,0,0
115,44.0,West,E-commerce,201-1000,partner,9,0,6.44,1,21,2,1003.39,1,2
116,47.0,Northeast,SaaS,11-50,ads,9,0,4.06,1,59,2,496.92,0,1
117,19.0,Northeast,Manufacturing,51-200,referral,16,3,5.84,1,56,1,816.89,0,2
118,25.0,West,E-commerce,201-1000,events,8,5,10.74,1,172,0,792.85,0,0
119,30.0,Midwest,Finance,11-50,web,5,6,8.16,2,10,2,1104.15,0,2
120,23.0,West,E-commerce,51-200,events,7,2,4.2,2,6,2,981.35,0,2
121,,South,E-commerce,1000+,partner,6,3,10.09,0,88,4,684.58,0,0
122,52.0,Northeast,Finance,201-1000,partner,6,2,7.36,2,29,3,749.98,0,1
123,52.0,West,Education,201-1000,events,6,1,8.33,0,1,3,617.97,0,1
124,42.0,Northeast,Healthcare,11-50,ads,10,2,7.58,0,135,6,1106.61,0,0
125,62.0,Midwest,SaaS,1000+,referral,10,1,7.42,1,205,3,387.2,0,0
126,47.0,South,E-commerce,1-10,web,9,1,2.11,3,68,1,586.11,0,1
127,22.0,South,SaaS,51-200,events,8,0,8.94,1,104,4,455.77,0,0
128,57.0,South,Manufacturing,51-200,ads,10,3,1.54,0,67,3,486.83,1,1
129,47.0,South,E-commerce,201-1000,events,7,3,8.74,1,57,2,232.11,0,1
130,51.0,West,Healthcare,1000+,referral,11,2,6.72,0,19,2,310.45,0,1
131,47.0,West,SaaS,201-1000,events,6,1,,3,10,1,174.9,0,1
132,46.0,South,Healthcare,51-200,events,12,2,6.85,2,11,1,582.17,0,2
133,22.0,Northeast,Manufacturing,11-50,referral,5,1,8.8,1,30,4,763.79,0,2
134,,South,Healthcare,51-200,ads,11,2,6.54,2,23,6,454.79,1,2
135,59.0,West,Finance,51-200,partner,10,4,7.12,1,20,0,510.63,0,1
136,33.0,Midwest,E-commerce,1-10,referral,8,1,7.39,4,43,2,787.0,0,2
137,49.0,South,,51-200,web,10,2,10.63,0,84,3,752.02,1,0
138,19.0,Midwest,Education,201-1000,referral,4,2,7.82,2,5,0,942.53,0,2
139,36.0,Northeast,SaaS,201-1000,ads,9,2,3.6,1,47,3,939.42,0,2
140,40.0,South,Healthcare,201-1000,web,12,2,5.26,0,7,5,444.91,1,2
141,69.0,Midwest,E-commerce,11-50,referral,9,3,7.82,3,102,0,553.64,0,1
142,29.0,West,SaaS,51-200,events,8,5,9.27,1,49,2,959.24,1,2
143,32.0,West,Finance,1-10,web,4,3,4.91,1,184,2,359.3,0,0
144,39.0,West,Manufacturing,11-50,web,9,4,11.43,1,42,1,598.89,0,2
145,69.0,Midwest,SaaS,51-200,ads,6,2,6.89,0,37,5,120.84,0,1
146,62.0,Midwest,Education,11-50,web,6,3,7.43,1,12,3,280.98,0,1
147,19.0,South,Finance,1-10,web,9,2,3.74,1,57,1,981.07,0,2
148,30.0,West,Education,51-200,web,8,7,8.95,1,110,4,840.75,1,2
149,60.0,South,SaaS,11-50,web,6,8,5.52,2,82,1,549.21,1,1
150,21.0,West,Manufacturing,11-50,events,8,1,4.86,3,30,3,506.73,0,2
151,62.0,Northeast,SaaS,11-50,web,8,2,5.8,3,122,0,910.29,0,0
152,32.0,West,Manufacturing,51-200,ads,8,1,9.54,0,58,3,413.49,0,1
153,65.0,Northeast,Finance,11-50,partner,8,2,7.52,2,61,2,830.1,0,1
154,33.0,Northeast,Healthcare,51-200,partner,9,3,4.54,2,227,3,752.29,0,0
155,40.0,South,SaaS,51-200,partner,15,5,5.33,1,8,2,1146.53,0,2
156,52.0,Northeast,Finance,1-10,referral,8,3,9.6,2,67,3,463.43,0,1
157,24.0,Northeast,SaaS,1000+,events,10,4,5.98,1,67,2,318.27,0,2
158,46.0,Northeast,Finance,1-10,web,10,4,7.73,1,86,2,504.87,0,2
159,44.0,Midwest,Education,51-200,web,6,3,8.27,0,35,1,836.73,1,2
160,58.0,West,E-commerce,11-50,events,6,3,0.5,1,114,3,903.28,0,1
161,69.0,Northeast,E-commerce,51-200,web,16,8,9.28,0,231,2,1130.2,0,0
162,52.0,South,E-commerce,11-50,web,5,2,4.62,1,124,1,331.52,0,1
163,39.0,West,E-commerce,201-1000,web,8,5,5.71,0,114,2,800.36,1,0
164,39.0,Northeast,SaaS,11-50,web,11,2,9.89,1,24,1,671.66,0,2
165,39.0,Northeast,E-commerce,51-200,web,5,3,9.68,1,118,2,275.6,0,0
166,60.0,West,Finance,11-50,ads,11,6,7.58,1,291,3,623.42,0,0
167,,West,E-commerce,1-10,partner,10,4,,1,96,5,592.97,0,2
168,26.0,South,Education,11-50,web,6,3,8.65,0,38,1,446.24,0,1
169,35.0,West,Education,51-200,events,5,2,9.65,1,116,1,837.99,0,0
170,19.0,Northeast,Education,51-200,web,13,1,9.93,3,80,0,464.07,0,2
171,23.0,Midwest,Finance,1000+,partner,9,0,6.74,1,13,2,114.34,1,1
172,22.0,South,E-commerce,201-1000,events,11,3,4.88,2,9,6,684.95,0,2
173,58.0,Midwest,Manufacturing,1000+,ads,5,3,5.94,2,151,3,334.55,0,0
174,,South,E-commerce,11-50,ads,7,2,6.78,2,89,1,312.76,0,1
175,54.0,South,Healthcare,201-1000,web,9,6,6.38,0,21,4,716.69,1,2
176,42.0,South,Healthcare,51-200,referral,8,4,4.27,0,74,1,418.67,0,1
177,55.0,South,Education,51-200,events,7,2,7.46,2,107,3,425.21,0,1
178,26.0,Midwest,Finance,1000+,referral,7,4,3.05,2,18,2,650.23,0,2
179,64.0,Northeast,Education,51-200,web,6,0,6.69,1,9,3,528.75,0,1
180,44.0,Northeast,Manufacturing,201-1000,partner,5,1,6.83,0,31,1,615.02,0,1
181,66.0,South,Healthcare,201-1000,partner,7,2,6.75,0,104,2,286.27,0,1
182,25.0,Northeast,Manufacturing,1-10,web,8,5,8.37,2,2,3,519.92,1,2
183,43.0,Northeast,E-commerce,51-200,web,9,3,8.08,1,55,2,812.4,0,2
184,54.0,Northeast,Manufacturing,51-200,web,7,2,11.39,0,85,2,630.06,0,0
185,43.0,Northeast,E-commerce,1000+,web,11,0,5.36,3,11,3,464.43,0,1
186,41.0,West,Manufacturing,201-1000,partner,5,2,7.11,0,104,0,506.73,0,0
187,26.0,Midwest,Healthcare,1-10,web,5,3,6.97,1,42,3,681.64,0,2
188,37.0,West,Manufacturing,1-10,partner,6,4,6.87,0,47,1,424.06,0,1
189,30.0,Northeast,SaaS,1-10,web,2,2,3.72,2,12,2,749.89,1,1
190,33.0,South,Healthcare,51-200,events,5,7,3.9,1,34,4,714.18,1,2
191,53.0,Midwest,Manufacturing,1-10,partner,2,3,6.51,1,63,0,398.04,0,1
192,,Midwest,SaaS,201-1000,referral,10,1,3.03,3,76,3,904.5,0,2
193,49.0,West,E-commerce,51-200,ads,8,5,5.76,2,63,1,472.61,0,1
194,36.0,West,SaaS,201-1000,web,6,5,5.08,0,64,1,332.84,0,1
195,67.0,West,E-commerce,11-50,web,11,7,5.84,2,21,1,923.29,1,2
196,22.0,Northeast,Healthcare,51-200,ads,5,2,8.99,2,9,4,870.74,1,2
197,35.0,Midwest,Finance,1-10,web,9,0,4.13,2,29,4,1093.22,0,2
198,24.0,South,E-commerce,201-1000,partner,10,3,8.41,2,12,3,244.21,1,2
199,35.0,Midwest,SaaS,1-10,referral,13,2,,1,29,1,1023.62,1,2
200,68.0,South,E-commerce,1-10,web,5,5,5.52,2,35,2,254.97,0,1
201,37.0,South,Manufacturing,11-50,ads,16,1,7.52,0,118,4,959.92,0,0
202,65.0,South,Manufacturing,201-1000,ads,11,6,5.9,1,3,2,567.66,0,2
203,,West,E-commerce,1-10,partner,7,5,4.54,4,77,2,816.03,0,2
204,54.0,South,E-commerce,51-200,web,10,5,5.69,2,156,1,664.72,0,0
205,41.0,Northeast,SaaS,201-1000,ads,8,4,2.59,0,99,3,913.96,0,2
206,31.0,Northeast,Manufacturing,201-1000,events,6,4,7.34,0,150,0,327.13,0,0
207,57.0,South,Education,1-10,referral,6,1,0.5,4,36,3,294.79,0,1
208,68.0,South,Education,1-10,events,8,2,,2,20,3,743.97,0,1
209,31.0,Midwest,E-commerce,11-50,partner,5,5,7.85,1,31,1,1037.91,0,2
210,58.0,Midwest,Finance,11-50,ads,8,4,10.02,0,61,0,853.58,1,2
211,31.0,South,SaaS,51-200,events,9,3,11.3,0,103,3,951.62,0,0
212,55.0,West,Education,11-50,events,8,3,8.56,0,4,1,784.38,1,1
213,59.0,South,Finance,11-50,referral,6,2,5.12,3,53,0,786.7,0,1
214,41.0,Midwest,E-commerce,1-10,events,11,4,11.28,1,7,0,627.42,0,2
215,56.0,Midwest,Education,51-200,web,4,3,3.87,1,18,2,166.49,0,1
216,32.0,South,Finance,1-10,web,7,6,2.31,4,33,2,898.33,0,2
217,22.0,Midwest,Healthcare,51-200,web,8,2,10.58,1,142,1,567.62,0,0
218,23.0,South,E-commerce,1-10,referral,8,4,7.82,1,38,0,657.41,0,2
219,41.0,South,SaaS,1000+,events,7,1,2.37,4,51,2,195.32,0,1
220,64.0,Northeast,Manufacturing,51-200,partner,10,5,3.52,0,50,1,715.71,0,1
221,24.0,Northeast,E-commerce,1-10,partner,5,1,7.71,1,7,1,590.76,0,1
222,41.0,Northeast,E-commerce,1-10,web,10,3,4.59,2,92,0,468.18,0,1
223,54.0,West,Education,11-50,ads,4,4,4.9,0,22,1,279.07,0,1
224,28.0,South,E-commerce,1-10,referral,10,2,10.83,0,33,0,1033.89,1,2
225,55.0,Northeast,Healthcare,11-50,ads,9,2,11.23,1,160,3,984.16,0,0
226,33.0,West,Education,201-1000,referral,9,4,6.82,1,11,2,756.23,0,2
227,60.0,South,Finance,51-200,referral,5,5,6.17,2,55,4,819.1,1,1
228,48.0,South,Finance,1-10,events,12,2,8.49,1,32,4,619.35,0,2
229,46.0,West,SaaS,51-200,ads,11,2,5.26,0,42,3,508.07,0,1
230,27.0,Northeast,Healthcare,11-50,ads,7,4,1.59,1,56,1,749.33,0,2
231,42.0,Northeast,Healthcare,1000+,web,5,4,0.5,3,93,1,780.95,0,1
232,62.0,South,Finance,1-10,partner,7,1,6.34,2,76,1,265.21,0,1
233,19.0,Northeast,SaaS,201-1000,ads,9,6,8.44,4,18,1,518.29,0,2
234,57.0,South,SaaS,201-1000,referral,12,3,6.54,3,222,1,279.78,0,0
235,43.0,Northeast,Education,1-10,partner,12,2,8.28,1,27,4,1139.67,0,2
236,55.0,Northeast,Education,1-10,web,5,9,8.5,0,12,0,693.54,0,2
237,,Northeast,Education,11-50,ads,9,5,9.55,3,15,3,495.41,0,2
238,40.0,Midwest,E-commerce,201-1000,events,7,4,6.91,2,0,3,541.22,0,2
239,34.0,Northeast,Manufacturing,51-200,ads,10,1,7.11,3,8,2,619.11,0,2
240,50.0,Northeast,E-commerce,51-200,web,6,2,6.42,0,11,5,374.62,0,1
241,25.0,West,Finance,201-1000,referral,8,4,5.93,1,60,3,985.4,0,2
242,48.0,Midwest,SaaS,201-1000,web,12,5,3.04,2,115,5,487.18,0,2
243,22.0,Midwest,Manufacturing,51-200,ads,7,5,9.08,0,2,3,986.91,0,2
244,51.0,Northeast,E-commerce,51-200,referral,7,3,5.66,2,77,2,245.56,0,1
245,50.0,Midwest,Education,201-1000,web,5,0,5.53,3,11,0,602.17,0,1
246,22.0,Midwest,E-commerce,11-50,partner,9,1,5.31,1,17,2,127.46,0,1
247,57.0,South,Education,201-1000,web,10,2,3.55,2,365,4,1046.35,0,0
248,39.0,Northeast,Healthcare,1-10,referral,7,1,6.31,1,62,4,362.66,0,1
249,58.0,West,SaaS,1-10,events,11,4,7.64,1,29,5,1251.36,0,2
250,20.0,West,E-commerce,201-1000,web,10,0,4.95,1,103,1,598.66,0,0
251,27.0,Northeast,Education,11-50,referral,10,2,8.78,2,3,0,550.17,0,2
252,43.0,Northeast,,1-10,referral,10,2,5.69,1,231,1,833.44,0,0
253,27.0,Northeast,E-commerce,1-10,ads,5,4,3.13,0,10,1,368.27,1,1
254,35.0,South,Finance,51-200,referral,7,4,9.52,0,21,0,820.36,1,2
255,52.0,Northeast,E-commerce,201-1000,events,7,2,6.94,0,54,2,871.71,0,1
256,25.0,West,SaaS,1-10,web,8,0,8.4,2,104,2,668.46,0,0
257,53.0,South,Finance,1-10,events,7,4,8.45,1,34,1,806.51,0,2
258,23.0,West,Education,51-200,ads,5,3,4.42,3,83,5,949.02,0,2
259,27.0,South,Education,1000+,web,7,3,5.35,1,17,1,827.06,0,2
260,48.0,West,Manufacturing,11-50,web,7,3,8.78,1,15,4,592.51,1,1
261,59.0,Northeast,SaaS,1000+,web,10,3,10.54,2,69,3,932.57,1,2
262,26.0,Midwest,Healthcare,201-1000,referral,13,2,6.64,2,15,3,827.89,0,2
263,33.0,Midwest,E-commerce,11-50,referral,7,3,5.12,0,89,1,405.67,0,1
264,66.0,West,Manufacturing,201-1000,partner,7,2,10.2,1,113,3,565.05,0,0
265,69.0,South,Finance,51-200,referral,15,2,5.12,1,98,1,358.01,0,1
266,48.0,West,SaaS,51-200,partner,9,2,7.22,0,111,2,574.52,0,0
267,41.0,Northeast,Education,11-50,referral,6,4,5.56,2,33,1,853.06,0,2
268,36.0,West,SaaS,201-1000,referral,11,1,7.09,0,17,0,1231.17,1,2
269,49.0,South,E-commerce,201-1000,referral,10,0,4.42,0,107,1,770.12,0,0
270,48.0,South,Education,201-1000,referral,9,3,5.68,0,8,1,313.38,1,1
271,33.0,West,Finance,1000+,events,6,3,5.12,0,30,1,496.56,0,1
272,19.0,Midwest,Education,51-200,referral,7,2,7.96,2,8,4,952.42,0,2
273,25.0,Midwest,Finance,201-1000,referral,4,3,6.86,0,54,2,415.28,0,1
274,67.0,South,Manufacturing,201-1000,events,17,5,8.44,0,20,3,395.96,1,2
275,39.0,Northeast,Finance,11-50,partner,4,4,4.68,1,29,1,186.78,0,1
276,43.0,Midwest,SaaS,1-10,web,9,1,6.04,1,0,0,568.96,0,1
277,42.0,Northeast,SaaS,11-50,events,9,4,7.88,1,151,0,869.54,0,0
278,58.0,Northeast,Education,201-1000,web,6,2,8.39,1,40,6,680.02,1,1
279,21.0,West,SaaS,11-50,web,10,3,3.32,1,118,6,598.89,0,2
280,22.0,South,Healthcare,201-1000,ads,11,0,7.2,2,71,0,412.95,0,2
281,32.0,Midwest,SaaS,1-10,partner,5,2,4.71,2,60,2,15.31,0,1
282,43.0,Midwest,E-commerce,11-50,web,7,1,8.5,2,54,4,299.23,0,1
283,52.0,Midwest,Finance,51-200,partner,7,3,10.59,1,29,2,692.76,0,1
284,43.0,South,E-commerce,1-10,web,6,3,0.75,2,15,5,203.06,0,1
285,40.0,West,Healthcare,201-1000,partner,7,3,,1,128,4,702.19,1,0
286,66.0,West,Manufacturing,1-10,web,9,2,7.08,3,11,4,464.65,0,1
287,26.0,Midwest,SaaS,1000+,ads,9,5,6.49,2,25,3,234.21,0,2
288,47.0,Midwest,SaaS,11-50,partner,9,7,8.57,3,68,2,763.25,0,2
289,46.0,Midwest,E-commerce,1000+,referral,9,5,6.67,1,131,1,888.75,0,0
290,42.0,South,Education,51-200,partner,8,2,5.33,2,26,6,1098.84,1,2
291,,South,Healthcare,1-10,partner,10,2,4.26,0,32,2,270.92,0,1
292,31.0,South,Finance,1-10,partner,10,5,3.89,0,68,1,931.26,0,2
293,67.0,South,SaaS,1-10,referral,12,5,4.87,0,3,1,904.46,0,2
294,35.0,Midwest,Education,51-200,partner,10,3,5.26,1,18,3,444.52,0,2
295,46.0,Midwest,SaaS,201-1000,partner,3,4,7.34,0,16,1,662.98,0,1
296,45.0,Midwest,Education,11-50,referral,7,4,6.16,1,22,0,861.96,0,2
297,62.0,Northeast,SaaS,11-50,partner,6,3,5.07,1,42,2,0.0,0,1
298,40.0,Northeast,Manufacturing,51-200,events,10,3,4.28,1,47,0,466.04,0,1
299,32.0,South,E-commerce,51-200,events,4,3,4.95,3,63,1,474.97,0,1
300,19.0,Midwest,E-commerce,51-200,partner,5,2,5.26,0,10,4,556.66,0,1
301,36.0,Northeast,Healthcare,51-200,partner,10,2,4.85,3,74,1,1204.58,0,2
302,60.0,South,SaaS,201-1000,events,3,4,7.98,4,153,3,346.28,0,1
303,18.0,South,SaaS,1000+,referral,15,4,9.51,0,59,1,625.07,0,2
304,64.0,Midwest,Finance,11-50,partner,7,4,,2,20,1,548.96,0,1
305,46.0,West,E-commerce,1-10,web,8,2,8.96,0,22,1,697.17,0,1
306,25.0,West,Healthcare,1-10,referral,9,1,8.03,1,13,2,311.55,0,1
307,33.0,South,Education,51-200,events,9,3,6.9,2,58,1,755.29,0,2
308,46.0,South,SaaS,11-50,referral,2,1,9.86,1,42,0,622.39,0,1
309,34.0,Northeast,Healthcare,1000+,events,4,5,6.13,2,7,4,735.86,1,2
310,23.0,West,E-commerce,51-200,ads,8,5,7.38,0,76,1,424.84,0,2
311,52.0,Midwest,Healthcare,51-200,referral,7,6,6.77,1,141,3,751.37,0,0
312,52.0,West,E-commerce,201-1000,web,1,2,6.61,1,4,2,832.83,0,1
313,24.0,South,SaaS,11-50,ads,10,1,7.51,0,59,2,1266.9,1,2
314,32.0,Northeast,SaaS,201-1000,ads,7,3,6.6,0,30,3,695.25,0,2
315,30.0,Northeast,Manufacturing,1-10,ads,10,3,7.53,2,2,1,715.26,1,2
316,52.0,South,SaaS,51-200,web,5,2,5.03,1,156,5,153.4,0,0
317,55.0,South,Education,1000+,referral,6,5,5.1,3,262,0,193.3,0,0
318,55.0,Northeast,Manufacturing,201-1000,web,5,0,5.02,2,66,4,684.69,0,1
319,66.0,South,Healthcare,201-1000,referral,7,1,5.7,1,194,1,190.79,0,0
320,57.0,West,E-commerce,11-50,events,7,0,8.73,0,99,3,637.0,0,0
321,34.0,South,Education,201-1000,web,9,3,,2,49,4,1143.87,0,2
